date,channel,campaign_id,spend_usd,impressions,clicks
2025-10-01,Google_Search_Brand,Google_Search_Brand_Competitor,2558.8377775357603,11090,610
2025-10-01,Google_Search_Brand,Google_Search_Brand_Core,3017.1592167036483,14872,818
2025-10-01,Google_Search_Brand,Google_Search_Brand_Local,2494.731521047632,11690,643
2025-10-01,Google_Search_NonBrand,Google_Search_NonBrand_Construction,3643.451596851975,14500,580
2025-10-01,Google_Search_NonBrand,Google_Search_NonBrand_Generic,3729.5631949263307,14250,570
2025-10-01,Google_Search_NonBrand,Google_Search_NonBrand_Healthcare,2749.927927797867,10350,414
2025-10-01,Google_Search_NonBrand,Google_Search_NonBrand_Professional,3237.066860170487,11975,479
2025-10-01,Google_Search_NonBrand,Google_Search_NonBrand_Restaurants,2867.928536165054,10950,438
2025-10-01,Google_Search_NonBrand,Google_Search_NonBrand_Retail,3498.1640649749775,13700,548
2025-10-01,Google_Search_NonBrand,Google_Search_NonBrand_Trucking,2266.12119194536,9225,369
2025-10-01,Meta_Prospecting,Meta_Prospecting_Construction,2075.0144951045963,64500,774
2025-10-01,Meta_Prospecting,Meta_Prospecting_Generic,3583.4415696363576,111750,1341
2025-10-01,Meta_Prospecting,Meta_Prospecting_Healthcare,2751.887687923428,89500,1074
2025-10-01,Meta_Prospecting,Meta_Prospecting_Professional,2635.7788334222464,82833,994
2025-10-01,Meta_Prospecting,Meta_Prospecting_Restaurants,3082.7461327660094,101916,1223
2025-10-01,Meta_Prospecting,Meta_Prospecting_Retail,2932.325591881923,97083,1165
2025-10-01,Meta_Prospecting,Meta_Prospecting_Trucking,2707.1763263308603,84166,1010
2025-10-01,Meta_Retargeting,Meta_Retargeting_30d,3659.4252186494086,89222,1606
2025-10-01,Meta_Retargeting,Meta_Retargeting_7d,3618.913525503836,91111,1640
2025-10-01,Partner_Embedded,Partner_Embedded_Accounting,1102.2498462365054,0,0
2025-10-01,Partner_Embedded,Partner_Embedded_Formation,1043.5620639928911,0,0
2025-10-01,Partner_Embedded,Partner_Embedded_Payroll,1052.5268461074215,0,0
2025-10-01,TikTok_Prospecting,TikTok_Prospecting_Construction,1499.7994210458294,79400,794
2025-10-01,TikTok_Prospecting,TikTok_Prospecting_Generic,2201.269543227708,116500,1165
2025-10-01,TikTok_Prospecting,TikTok_Prospecting_Healthcare,1332.8326356434504,72800,728
2025-10-01,TikTok_Prospecting,TikTok_Prospecting_Professional,1630.5759559280098,84000,840
2025-10-01,TikTok_Prospecting,TikTok_Prospecting_Restaurants,1755.8971491314023,89700,897
2025-10-01,TikTok_Prospecting,TikTok_Prospecting_Retail,1046.782875622168,53200,532
2025-10-01,TikTok_Prospecting,TikTok_Prospecting_Trucking,1294.1187376143932,70400,704
2025-10-01,TikTok_Retargeting,TikTok_Retargeting_30d,2529.999198809632,111153,1445
2025-10-01,TikTok_Retargeting,TikTok_Retargeting_7d,2045.6434883448705,88230,1147
2025-10-02,Google_Search_Brand,Google_Search_Brand_Competitor,2252.270688584234,10872,598
2025-10-02,Google_Search_Brand,Google_Search_Brand_Core,3193.06247384013,15618,859
2025-10-02,Google_Search_Brand,Google_Search_Brand_Local,1734.2958705274932,8200,451
2025-10-02,Google_Search_NonBrand,Google_Search_NonBrand_Construction,1888.8282923000022,6575,263
2025-10-02,Google_Search_NonBrand,Google_Search_NonBrand_Generic,3371.9475309917934,12625,505
2025-10-02,Google_Search_NonBrand,Google_Search_NonBrand_Healthcare,3056.3585614252593,11175,447
2025-10-02,Google_Search_NonBrand,Google_Search_NonBrand_Professional,2735.819169838938,9725,389
2025-10-02,Google_Search_NonBrand,Google_Search_NonBrand_Restaurants,2244.490591092857,9375,375
2025-10-02,Google_Search_NonBrand,Google_Search_NonBrand_Retail,2620.1973926417813,10400,416
2025-10-02,Google_Search_NonBrand,Google_Search_NonBrand_Trucking,3553.2665257608032,13100,524
2025-10-02,Meta_Prospecting,Meta_Prospecting_Construction,3690.762149468167,119083,1429
2025-10-02,Meta_Prospecting,Meta_Prospecting_Generic,4315.122481115298,136583,1639
2025-10-02,Meta_Prospecting,Meta_Prospecting_Healthcare,2737.1989707616012,86416,1037
2025-10-02,Meta_Prospecting,Meta_Prospecting_Professional,3156.7370040923715,101083,1213
2025-10-02,Meta_Prospecting,Meta_Prospecting_Restaurants,2030.664893439118,65583,787
2025-10-02,Meta_Prospecting,Meta_Prospecting_Retail,3000.5481696564498,96000,1152
2025-10-02,Meta_Prospecting,Meta_Prospecting_Trucking,2839.4478572498674,91583,1099
2025-10-02,Meta_Retargeting,Meta_Retargeting_30d,3025.808158376658,73444,1322
2025-10-02,Meta_Retargeting,Meta_Retargeting_7d,3363.7871056583854,88166,1587
2025-10-02,Partner_Embedded,Partner_Embedded_Accounting,1230.695314527098,0,0
2025-10-02,Partner_Embedded,Partner_Embedded_Formation,842.2110194665153,0,0
2025-10-02,Partner_Embedded,Partner_Embedded_Payroll,985.9523558893783,0,0
2025-10-02,TikTok_Prospecting,TikTok_Prospecting_Construction,1841.035143355148,102100,1021
2025-10-02,TikTok_Prospecting,TikTok_Prospecting_Generic,1704.921438720765,91800,918
2025-10-02,TikTok_Prospecting,TikTok_Prospecting_Healthcare,1285.1780171545001,67200,672
2025-10-02,TikTok_Prospecting,TikTok_Prospecting_Professional,1817.63529315765,93700,937
2025-10-02,TikTok_Prospecting,TikTok_Prospecting_Restaurants,1131.2960507285684,59900,599
2025-10-02,TikTok_Prospecting,TikTok_Prospecting_Retail,1172.685530492179,64200,642
2025-10-02,TikTok_Prospecting,TikTok_Prospecting_Trucking,1425.4000085073824,80400,804
2025-10-02,TikTok_Retargeting,TikTok_Retargeting_30d,2174.538122111052,98538,1281
2025-10-02,TikTok_Retargeting,TikTok_Retargeting_7d,2338.764609494946,108000,1404
2025-10-03,Google_Search_Brand,Google_Search_Brand_Competitor,2060.4924460045163,10127,557
2025-10-03,Google_Search_Brand,Google_Search_Brand_Core,2539.9401935707338,12254,674
2025-10-03,Google_Search_Brand,Google_Search_Brand_Local,2257.219484014878,10672,587
2025-10-03,Google_Search_NonBrand,Google_Search_NonBrand_Construction,2120.544798761026,7800,312
2025-10-03,Google_Search_NonBrand,Google_Search_NonBrand_Generic,3847.028224723338,15250,610
2025-10-03,Google_Search_NonBrand,Google_Search_NonBrand_Healthcare,3383.0409435752913,12250,490
2025-10-03,Google_Search_NonBrand,Google_Search_NonBrand_Professional,2302.760312941218,8850,354
2025-10-03,Google_Search_NonBrand,Google_Search_NonBrand_Restaurants,4431.360840443556,16275,651
2025-10-03,Google_Search_NonBrand,Google_Search_NonBrand_Retail,4150.178590650678,16800,672
2025-10-03,Google_Search_NonBrand,Google_Search_NonBrand_Trucking,3133.60447471538,11600,464
2025-10-03,Meta_Prospecting,Meta_Prospecting_Construction,2463.001772229123,83500,1002
2025-10-03,Meta_Prospecting,Meta_Prospecting_Generic,3947.2465962550923,128083,1537
2025-10-03,Meta_Prospecting,Meta_Prospecting_Healthcare,3460.699248915741,114166,1370
2025-10-03,Meta_Prospecting,Meta_Prospecting_Professional,4092.755302404884,137500,1650
2025-10-03,Meta_Prospecting,Meta_Prospecting_Restaurants,2719.9988467239723,88250,1059
2025-10-03,Meta_Prospecting,Meta_Prospecting_Retail,2618.573500129707,83333,1000
2025-10-03,Meta_Prospecting,Meta_Prospecting_Trucking,1775.6148512772381,58833,706
